NAME,PRICE,WATCHERS
"1878-S $1, Morgan Dollar, PCGS MS65DMPL Rare Coin","$7,750.00",https://i.ebayimg.com/thumbs/images/g/u1oAAOSww75mBgqB/s-l300.jpg
"1887-O $1, Morgan Dollar, PCGS MS64DMPL, CAC Rare Coin","$3,950.00",https://i.ebayimg.com/thumbs/images/g/My4AAOSwQmlllHIT/s-l300.jpg
1976 Bicentennial Medal Commemorating the Declaration of Independence,$30.00,https://i.ebayimg.com/thumbs/images/g/chgAAOSwdSZmKuDM/s-l300.jpg
"1799 $1 Draped Bust Dollar, NGC XF45 CAC Rare Coin","$7,250.00",https://i.ebayimg.com/thumbs/images/g/4hwAAOSwg8pmBZ9j/s-l300.jpg
"1879 T$1 Trade Dollar, PCGS PR65CAM Rare Coin","$10,500.00",https://i.ebayimg.com/thumbs/images/g/tf0AAOSwM9Fln0kl/s-l300.jpg
"1798 $1 Draped Bust Dollar, PCGS XF45, Large Eagle CAC Rare Coin","$8,500.00",https://i.ebayimg.com/thumbs/images/g/cGAAAOSw0l9l54ej/s-l300.jpg
"Germany 1624 Taler Saxe-Altenburg Coin, NGC Graded, XF45",$995.00,https://i.ebayimg.com/thumbs/images/g/NBwAAOSwhpVlH3co/s-l300.jpg
"1799 $1 Draped Bust Dollar, PCGS AU58 Rare Coin","$18,000.00",https://i.ebayimg.com/thumbs/images/g/JjwAAOSwas5le6nq/s-l300.jpg
1804 $5 Small 8 Draped Bust PCGS MS60 Rare Coin,"$18,500.00",https://i.ebayimg.com/thumbs/images/g/chAAAOSwqL9mIX0R/s-l300.jpg
Treasury | Burueau of the Mint Thomas Jefferson Bronze Medallion,$20.00,https://i.ebayimg.com/thumbs/images/g/CiwAAOSw8QBlzS3x/s-l300.jpg
1917 $2 US Note Legal Tender PCGS Choice VF35,$325.00,https://i.ebayimg.com/thumbs/images/g/q8EAAOSwVB5mDaI4/s-l300.jpg
"Phoenicia Aradus, Caracalla AD 198-217, NGC MS, ANCIENT COIN Rare Coin",$750.00,https://i.ebayimg.com/thumbs/images/g/XOMAAOSwNRVmC3ZA/s-l300.jpg
2021 S$1 ANACS MS70 First Day of Issue American Silver Eagle,$60.00,https://i.ebayimg.com/thumbs/images/g/hoAAAOSwIWhmM~RU/s-l300.jpg
Treasury | Bureau of the Mint Chester A. Arthur Bronze Medallion,$20.00,https://i.ebayimg.com/thumbs/images/g/DDIAAOSwtb5mKuBR/s-l300.jpg
"1904 $20 Liberty Head, PCGS MS65 CAC Rare Coin","$5,950.00",https://i.ebayimg.com/thumbs/images/g/uO4AAOSwCTRjmRWI/s-l300.jpg
"1922 $10 LARGE Gold Certificate, Fr. 1173, PCGS Banknote, About UNC 53","$1,050.00",https://i.ebayimg.com/thumbs/images/g/iisAAOSweoFmDFKZ/s-l300.jpg
"1909-S/S 1C, Lincoln Cent (Wheat Reverse), PCGS MS65RD CAC Rare Coin","$1,550.00",https://i.ebayimg.com/thumbs/images/g/2hEAAOSw-TZmKVCs/s-l300.jpg
"1879-S $1 Reverse of 1878 Morgan Dollar, CAC MS64 Rare Coin","$4,500.00",https://i.ebayimg.com/thumbs/images/g/AFIAAOSwMMBmEdbt/s-l300.jpg
"1802/1 $1 Wide Date, Draped Bust Dollar, PCGS VF30 Rare Coin","$5,000.00",https://i.ebayimg.com/thumbs/images/g/RSQAAOSw-DxmGZQV/s-l300.jpg
"Roman Empire Maximinus I, AD 235-238 Ch AU, The Seven Hills Hoard Ancient Coin",$375.00,https://i.ebayimg.com/thumbs/images/g/tPsAAOSwpL5g-HdU/s-l300.jpg
"1887 3D Jubilee Head 3 Pence, NGC PF65",$395.00,https://i.ebayimg.com/thumbs/images/g/fCAAAOSwYARjUxlS/s-l300.jpg
